#,Pattern,Problem,Diff,Time Budget,Link,Cold ✓ (date),1wk Review,3wk Review,Key Insight + Pitfall,Confidence
227,Intervals,Minimum Interval to Include Each Query,Hard,~75min first / ~12min review,https://neetcode.io/problems/minimum-interval-including-query,,,,,
228,Math & Geometry,Excel Sheet Column Title,Easy,~45min first / ~5min review,https://neetcode.io/problems/excel-sheet-column-title,,,,,
229,Math & Geometry,Greatest Common Divisor of Strings,Easy,~45min first / ~5min review,https://neetcode.io/problems/greatest-common-divisor-of-strings,,,,,
230,Math & Geometry,Insert Greatest Common Divisors in Linked List,Medium,~60min first / ~8min review,https://neetcode.io/problems/insert-greatest-common-divisors-in-linked-list,,,,,
231,Math & Geometry,Transpose Matrix,Easy,~45min first / ~5min review,https://neetcode.io/problems/transpose-matrix,,,,,
232,Math & Geometry,Rotate Image,Medium,~60min first / ~8min review,https://neetcode.io/problems/rotate-matrix,,,,,
233,Math & Geometry,Spiral Matrix,Medium,~60min first / ~8min review,https://neetcode.io/problems/spiral-matrix,,,,,
234,Math & Geometry,Set Matrix Zeroes,Medium,~60min first / ~8min review,https://neetcode.io/problems/set-zeroes-in-matrix,,,,,
235,Math & Geometry,Happy Number,Easy,~45min first / ~5min review,https://neetcode.io/problems/non-cyclical-number,,,,,
236,Math & Geometry,Plus One,Easy,~45min first / ~5min review,https://neetcode.io/problems/plus-one,,,,,
237,Math & Geometry,Roman to Integer,Easy,~45min first / ~5min review,https://neetcode.io/problems/roman-to-integer,,,,,
238,Math & Geometry,"Pow(x, n)",Medium,~60min first / ~8min review,https://neetcode.io/problems/pow-x-n,,,,,
239,Math & Geometry,Multiply Strings,Medium,~60min first / ~8min review,https://neetcode.io/problems/multiply-strings,,,,,
240,Math & Geometry,Detect Squares,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-squares,,,,,
241,Bit Manipulation,Single Number,Easy,~45min first / ~5min review,https://neetcode.io/problems/single-number,,,,,
242,Bit Manipulation,Number of 1 Bits,Easy,~45min first / ~5min review,https://neetcode.io/problems/number-of-one-bits,,,,,
243,Bit Manipulation,Counting Bits,Easy,~45min first / ~5min review,https://neetcode.io/problems/counting-bits,,,,,
244,Bit Manipulation,Add Binary,Easy,~45min first / ~5min review,https://neetcode.io/problems/add-binary,,,,,
245,Bit Manipulation,Reverse Bits,Easy,~45min first / ~5min review,https://neetcode.io/problems/reverse-bits,,,,,
246,Bit Manipulation,Missing Number,Easy,~45min first / ~5min review,https://neetcode.io/problems/missing-number,,,,,
247,Bit Manipulation,Sum of Two Integers,Medium,~60min first / ~8min review,https://neetcode.io/problems/sum-of-two-integers,,,,,
248,Bit Manipulation,Reverse Integer,Medium,~60min first / ~8min review,https://neetcode.io/problems/reverse-integer,,,,,
249,Bit Manipulation,Bitwise and of Numbers Range,Medium,~60min first / ~8min review,https://neetcode.io/problems/bitwise-and-of-numbers-range,,,,,
250,Bit Manipulation,Minimum Array End,Medium,~60min first / ~8min review,https://neetcode.io/problems/minimum-array-end,,,,,
